LA No.,LA Name,LAEstab (at Apr 19),School Name (at Apr 19),Eligible Pupils,Total Allocation,October/February payment,April payment
202,Camden,2022000,St Lukes Church of England Primary,89,16890,9853,7037
202,Camden,2022001,Abacus Belsize Primary School,92,16920,9870,7050
202,Camden,2022002,Kings Cross Academy,118,17180,10022,7158
203,Greenwich,2032018,Millennium Primary School,354,19540,11398,8142
203,Greenwich,2032024,Alderwood Primary School,163,17630,10284,7346
203,Greenwich,2032266,Greenacres Primary School and Language Impairment Unit,205,18050,10529,7521
203,Greenwich,2032275,Halstow Primary School,343,19430,11334,8096
203,Greenwich,2032313,Horn Park Primary School,329,19290,11253,8037
203,Greenwich,2032656,Woodhill Primary School,480,20800,12133,8667
203,Greenwich,2032790,Brooklands Primary School,178,17780,10372,7408
203,Greenwich,2032804,Rockliffe Manor Primary School,177,17770,10366,7404
203,Greenwich,2032885,Foxfield Primary School,523,21230,12384,8846
203,Greenwich,2032890,Windrush Primary School,591,21910,12781,9129
203,Greenwich,2032902,Nightingale Primary School,165,17650,10296,7354
203,Greenwich,2032919,Timbercroft Primary School,314,19140,11165,7975
203,Greenwich,2032920,South Rise Primary School,509,21090,12303,8787
203,Greenwich,2032923,Deansfield Primary School,359,19590,11428,8162
203,Greenwich,2033535,St Marys Catholic Primary School,359,19590,11428,8162
203,Greenwich,2037201,Willow Dene School,169,17690,10319,7371
204,Hackney,2042001,The Olive School Hackney,449,20490,11953,8537
204,Hackney,2042002,Mossbourne Riverside Academy,86,16860,9835,7025
204,Hackney,2042003,Halley House School,68,16680,9730,6950
204,Hackney,2042004,Hackney New Primary School,100,17000,9917,7083
204,Hackney,2042444,Northwold Primary School,336,19360,11293,8067
204,Hackney,2043665,Mossbourne Parkside Academy,352,19520,11387,8133
204,Hackney,2043664,Lubavitch Girls Primary School,125,17250,10063,7187
204,Hackney,2042005,Lubavitch Junior Boys,109,17090,9969,7121
205,Hammersmith and Fulham,2051106,Courtyard AP Academy,15,15000,8750,6250
205,Hammersmith and Fulham,2052000,Ark Conway Primary Academy,179,17790,10378,7412
205,Hammersmith and Fulham,2052001,West London Free School Primary,240,18400,10733,7667
205,Hammersmith and Fulham,2052003,Ark Swift Primary Academy,243,18430,10751,7679
205,Hammersmith and Fulham,2052004,Earls Court Free School Primary,90,16900,9858,7042
205,Hammersmith and Fulham,2052005,Langford Primary School,140,17400,10150,7250
205,Hammersmith and Fulham,2052045,Ark Bentworth Primary Academy,152,17520,10220,7300
205,Hammersmith and Fulham,2052286,Fulham Primary School,241,18410,10739,7671
205,Hammersmith and Fulham,2052309,Thomass Academy,151,17510,10214,7296
205,Hammersmith and Fulham,2052383,Lena Gardens Primary School,110,17100,9975,7125
205,Hammersmith and Fulham,2052484,Queens Manor School and Special Needs Unit,172,17720,10337,7383
205,Hammersmith and Fulham,2052577,Sulivan Primary School,201,18010,10506,7504
205,Hammersmith and Fulham,2052913,Greenside Primary School,166,17660,10302,7358
205,Hammersmith and Fulham,2055400,The London Oratory School,79,16790,9794,6996
205,Hammersmith and Fulham,2056905,Ark Burlington Danes Academy,96,16960,9893,7067
206,Islington,2062000,Whitehall Park School,175,17750,10354,7396
206,Islington,2062002,Clerkenwell Parochial CofE Primary School,159,17590,10261,7329
206,Islington,2062643,William Tyndale Primary School,358,19580,11422,8158
206,Islington,2063644,The New North Academy,271,18710,10914,7796
206,Islington,2066905,St Mary Magdalene Academy,180,17800,10383,7417
206,Islington,2067001,The Bridge Integrated Learning Space,1,1000,583,417
206,Islington,2067002,The Bridge Satellite Provision,25,16250,9479,6771
206,Islington,2067031,The Bridge School,97,16970,9899,7071
206,Islington,2062003,Hungerford School,269,18690,10903,7787
206,Islington,2061112,The Pears Family School,10,10000,5833,4167
206,Islington,2062001,"City of London Primary Academy, Islington",39,16390,9561,6829
207,Kensington and Chelsea,2072000,Ark Brunel Primary Academy,307,19070,11124,7946
207,Kensington and Chelsea,2072001,Kensington Primary Academy,30,16300,9508,6792
207,Kensington and Chelsea,2077164,Parkwood Hall Co-Operative Academy,28,16280,9497,6783
